Weight,Heart Girth,Abdominal Girth,Hip Girth,Body Length,Chest Width,Abdominal Width,Hip Width
12.1,43,55,48,53,18,19,16
9.2,48,59,51,49,13,14,13.5
8.8,49,56,50,34,13,15,11
11,54,58.5,55,35,13,15,14
9.9,48,55,56,45,11,14,15
19,60,75,65,56,17,16,15
24,60,80,77,51,19,21,19
19,56,71,64,52,14,16,16
23,59,74,68,57,17,17,16
12,51,58,52,44,17,15,17
11,53,60,57,49,16,14,15
12,48,59,52,50,15,16,14
14,54,59,60,50,16,17,18
10,47,53,48,42,14,16,15
9,44,52,52,47,15,14,17
12,49,54,49,45,15,16,14
15,56,67,57,52,18,17,14
12,50,56,48,47,17,17,15
15,52,59,51,45,17,17,15
9,49,56,50,43,13,15,11
9.2,48,59,51,49,13,14,13
9.8,43,55,48,53,18,19,16
10,48.5,55,56,45,11,14,15
11,54,58.5,55,53,13,15,14
20,60,71,69,55,17,19,18
20,54,69,67,50,18,19,20
21,59,72,65,55,18,21,21
21,56,73,67,53,18,20,19
23,69,78,73,55,19,23,22
9.2,48,53,56,42,12,14,10
8.6,47,55,55,43,11,13,10
10.5,48,58,54,45,12,13,11
11,52,58,57,48,14,16,11
11.4,48,52,58,48,14,16,13
12.8,47,56,52,47,13,14,12
13.2,50,60,56,49,14,17,12
15.4,56,67,62,52,17,19,15
14.6,49,58,57,48,16,16,16
11.6,52,56,58,46,18,18,17
12,49,49,58,45,18,17,17
13.5,50,57,60,46,18,19,16
19,58,68,63,54,18,18,17
18,56,64,58,52,17,17,16
21,59,66,66,55,19,18,17
23,57,70,70,52,20,23,19
22,61,69,69,57,19,19,18
24,60,72,72,54,20,21,21
24,60,71,71,53,19,21,21
26,63,77,74,56,23,21,21
25,61,69,67,55,22,20,20
22,56,66,60,52,20,20,17
23,58,65,65,50,19,19,17
25,64,71,70,58,22,21,20
12.5,54,67,56,45,15,18,16
10.5,48,61,51.5,39,14,16,15
10.3,48.5,58,52,40,15,18,15
16,55,70,67.5,48,18,20,17
14.4,55,67,64,47,15,17,15
15.3,57,67,61,49,16,18,17
12.5,51,60,57,40,14,15,16
12.5,49,64,59,43,15,17,16
13.5,58,67,69,43,15,16,16
12.5,50,60,60,45,14,14,15
16,59,67,63,53,17,19,18
13.4,54,62,63,46,15,17,16
22,58,68,68,53,20,23,20
23,64,69,70,58,21,23,20
25,62,74,72,64,22,26,22
23,62,70,68,56,19,22,21
20,62,68,68,56,20,22,21
18,58,66,66,52,18,20,20
14.6,52,54,52,48,17,16,16
16.2,68,70,66,64,23,24,23
13.8,49,58,57,48,16,16,16
14.8,54,58,52,50,16,17,17
15.6,62,68,62,56,20,23,21
15,62,66,62,54,20,21,21
13.4,49,58,57,48,16,16,16
16.4,70,72,68,64,23,24,23
15.6,62,70,62,54,22,23,22
